Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
2023,30.0,0.00064,0.00064,0.5,99076,63,99044,4988512,50.35
2023,31.0,0.00043,0.00043,0.5,99012,43,98991,4889468,49.38
2023,32.0,0.00066,0.00066,0.5,98969,65,98936,4790477,48.4
2023,33.0,0.00072,0.00072,0.5,98904,71,98868,4691541,47.44
2023,34.0,0.00064,0.00064,0.5,98832,63,98801,4592673,46.47
2023,35.0,0.00082,0.00082,0.5,98769,81,98729,4493872,45.5
2023,36.0,0.00081,0.00081,0.5,98688,80,98648,4395143,44.54
2023,37.0,0.00087,0.00086,0.5,98608,85,98565,4296495,43.57
2023,38.0,0.00095,0.00095,0.5,98523,94,98476,4197929,42.61
2023,39.0,0.0008,0.0008,0.5,98429,79,98389,4099453,41.65
